family_id	n	BGCs_id
1758	3	,BGC0000239,BGC0001904,BGC0002712
136	2	,BGC0000146,BGC0002515
1768	2	,BGC0001695,BGC0001919
146	2	,BGC0000157,BGC0000158
1777	2	,BGC0001929,BGC0002583
1779	2	,BGC0001934,BGC0002022
155	2	,BGC0000018,BGC0000166
158	2	,BGC0000170,BGC0002615
169	2	,BGC0000181,BGC0001383
1790	2	,BGC0001950,BGC0001951
1792	2	,BGC0001952,BGC0001953
1796	2	,BGC0001956,BGC0002479
177	2	,BGC0000190,BGC0000224
1400	2	,BGC0000020,BGC0001511
1401	2	,BGC0001512,BGC0002426
1402	2	,BGC0001366,BGC0001513
186	2	,BGC0000199,BGC0000273
2300	2	,BGC0000411,BGC0002521
1412	2	,BGC0001523,BGC0001700
198	3	,BGC0000191,BGC0000192,BGC0000212
2312	2	,BGC0002533,BGC0002613
1424	2	,BGC0001536,BGC0002432
1428	2	,BGC0001541,BGC0001542
805	4	,BGC0000855,BGC0000856,BGC0000857,BGC0000859
2327	3	,BGC0001004,BGC0001183,BGC0002550
2328	2	,BGC0002485,BGC0002551
1437	3	,BGC0001549,BGC0001550,BGC0001551
818	2	,BGC0000872,BGC0000875
2339	2	,BGC0001999,BGC0002563
1448	2	,BGC0001563,BGC0002250
827	2	,BGC0000881,BGC0001808
2345	2	,BGC0001721,BGC0002569
834	2	,BGC0000888,BGC0001184
835	2	,BGC0000889,BGC0001592
836	2	,BGC0000890,BGC0000891
1464	2	,BGC0000503,BGC0001579
2356	2	,BGC0002360,BGC0002581
1465	2	,BGC0000051,BGC0001580
840	2	,BGC0000894,BGC0001338
844	2	,BGC0000898,BGC0000899
2368	2	,BGC0001704,BGC0002597
2370	2	,BGC0001516,BGC0002602
2375	3	,BGC0001030,BGC0002598,BGC0002607
2379	2	,BGC0001371,BGC0002611
2384	2	,BGC0001677,BGC0002616
1495	6	,BGC0000668,BGC0001126,BGC0001501,BGC0001594,BGC0001595,BGC0001612
878	3	,BGC0000934,BGC0001078,BGC0001080
885	3	,BGC0000940,BGC0000941,BGC0001453
1112	2	,BGC0001186,BGC0001795
1118	4	,BGC0000408,BGC0001153,BGC0001192,BGC0002653
890	2	,BGC0000946,BGC0000947
896	2	,BGC0000953,BGC0002652
2010	2	,BGC0002203,BGC0002259
502	3	,BGC0000535,BGC0000536,BGC0000538
505	2	,BGC0000541,BGC0000542
2029	2	,BGC0002222,BGC0002224
517	2	,BGC0000496,BGC0000553
528	2	,BGC0000564,BGC0001170
1151	2	,BGC0000563,BGC0001226
1161	2	,BGC0001238,BGC0001239
1164	2	,BGC0001241,BGC0002232
1171	2	,BGC0001250,BGC0001251
1177	5	,BGC0001257,BGC0001258,BGC0001906,BGC0002154,BGC0002161
550	2	,BGC0000586,BGC0000587
2072	2	,BGC0002171,BGC0002275
1184	2	,BGC0000064,BGC0001268
1187	2	,BGC0001276,BGC0002229
1189	4	,BGC0000930,BGC0001277,BGC0001278,BGC0001811
560	2	,BGC0000595,BGC0000596
2081	2	,BGC0002058,BGC0002287
2088	2	,BGC0000375,BGC0002295
572	2	,BGC0000608,BGC0000609
578	2	,BGC0000611,BGC0000614
2097	3	,BGC0001478,BGC0002305,BGC0002690
1802	2	,BGC0001831,BGC0001964
1808	2	,BGC0001970,BGC0001971
583	3	,BGC0000619,BGC0001388,BGC0001602
1814	2	,BGC0001979,BGC0002141
593	2	,BGC0000630,BGC0000635
597	2	,BGC0000634,BGC0000643
11	2	,BGC0000013,BGC0002237
203	2	,BGC0000217,BGC0000218
28	2	,BGC0000031,BGC0001533
219	6	,BGC0000223,BGC0000234,BGC0002016,BGC0002070,BGC0002477,BGC0002672
1841	2	,BGC0002010,BGC0002636
1846	5	,BGC0001674,BGC0001779,BGC0001920,BGC0002015,BGC0002307
221	8	,BGC0000236,BGC0000253,BGC0001596,BGC0001661,BGC0001723,BGC0002000,BGC0002012,BGC0002514
222	2	,BGC0000237,BGC0000238
226	3	,BGC0000240,BGC0000241,BGC0001693
44	3	,BGC0000035,BGC0000047,BGC0001396
48	7	,BGC0000052,BGC0001662,BGC0002072,BGC0002355,BGC0002356,BGC0002357,BGC0002498
49	2	,BGC0000053,BGC0002291
1859	2	,BGC0000059,BGC0002032
1865	2	,BGC0000114,BGC0002038
1867	2	,BGC0002040,BGC0002282
244	3	,BGC0000201,BGC0000231,BGC0000262
245	2	,BGC0000211,BGC0000263
62	4	,BGC0000066,BGC0000067,BGC0000074,BGC0000090
1874	2	,BGC0002048,BGC0002326
1877	2	,BGC0001570,BGC0002051
1878	2	,BGC0000853,BGC0002052
252	2	,BGC0000270,BGC0001072
254	3	,BGC0000215,BGC0000271,BGC0000272
70	2	,BGC0000076,BGC0000077
76	2	,BGC0000082,BGC0000162
1880	2	,BGC0001957,BGC0002054
77	2	,BGC0000083,BGC0000177
261	2	,BGC0000280,BGC0000281
90	2	,BGC0000039,BGC0000098
95	3	,BGC0000104,BGC0001360,BGC0002619
98	2	,BGC0000107,BGC0002175
1502	2	,BGC0001620,BGC0001763
285	5	,BGC0000305,BGC0001509,BGC0001842,BGC0001980,BGC0002092
289	2	,BGC0000309,BGC0001185
2400	2	,BGC0002470,BGC0002633
2401	2	,BGC0000167,BGC0002634
1516	2	,BGC0000578,BGC0001634
2415	5	,BGC0000861,BGC0000862,BGC0000863,BGC0000865,BGC0002648
1529	3	,BGC0000086,BGC0000087,BGC0001648
901	3	,BGC0000958,BGC0001216,BGC0001455
906	2	,BGC0000963,BGC0002350
908	3	,BGC0000965,BGC0001397,BGC0001584
1538	2	,BGC0001657,BGC0002384
920	2	,BGC0000977,BGC0001874
921	2	,BGC0000978,BGC0000981
922	2	,BGC0000979,BGC0000980
925	2	,BGC0000982,BGC0001010
1551	3	,BGC0000084,BGC0000100,BGC0001670
933	4	,BGC0000988,BGC0000989,BGC0000990,BGC0000991
1566	4	,BGC0000108,BGC0000125,BGC0001690,BGC0002540
948	2	,BGC0001006,BGC0001007
954	3	,BGC0001011,BGC0001012,BGC0001013
958	5	,BGC0001015,BGC0001016,BGC0001017,BGC0001667,BGC0002297
959	3	,BGC0000331,BGC0000332,BGC0001018
1582	3	,BGC0000115,BGC0000116,BGC0001709
2474	2	,BGC0001434,BGC0002713
2481	2	,BGC0002723,BGC0002724
969	2	,BGC0001028,BGC0002061
972	2	,BGC0001031,BGC0001032
1204	2	,BGC0001296,BGC0001433
1208	2	,BGC0001300,BGC0001301
982	2	,BGC0000145,BGC0001041
992	2	,BGC0001051,BGC0001342
993	2	,BGC0001046,BGC0001052
2115	2	,BGC0002324,BGC0002492
1226	2	,BGC0001322,BGC0001324
602	2	,BGC0000639,BGC0000641
1230	2	,BGC0001327,BGC0001328
2124	2	,BGC0002105,BGC0002333
1233	2	,BGC0001330,BGC0001331
2126	2	,BGC0002327,BGC0002336
1249	2	,BGC0001346,BGC0002548
626	2	,BGC0000649,BGC0000664
627	2	,BGC0000665,BGC0000666
1251	4	,BGC0000029,BGC0000097,BGC0001349,BGC0002101
1255	3	,BGC0001064,BGC0001357,BGC0001566
1258	2	,BGC0001361,BGC0002283
2153	2	,BGC0001472,BGC0002363
2156	2	,BGC0000220,BGC0002366
1266	2	,BGC0000315,BGC0001370
641	2	,BGC0000679,BGC0001848
1272	2	,BGC0001376,BGC0002732
2164	2	,BGC0001297,BGC0002377
1279	8	,BGC0000229,BGC0000235,BGC0000268,BGC0000278,BGC0001384,BGC0001769,BGC0002140,BGC0002361
653	2	,BGC0000693,BGC0000694
1280	2	,BGC0001386,BGC0001625
1284	2	,BGC0001390,BGC0001626
1288	2	,BGC0001394,BGC0001737
663	4	,BGC0000702,BGC0000703,BGC0000704,BGC0000705
671	3	,BGC0000709,BGC0000711,BGC0000713
672	4	,BGC0000689,BGC0000696,BGC0000714,BGC0001603
677	3	,BGC0000719,BGC0000720,BGC0000721
679	3	,BGC0000701,BGC0000722,BGC0000723
2193	2	,BGC0002407,BGC0002621
2194	2	,BGC0002408,BGC0002421
1901	2	,BGC0002078,BGC0002079
1906	2	,BGC0002083,BGC0002087
683	2	,BGC0000728,BGC0000729
1909	3	,BGC0001812,BGC0001830,BGC0002086
685	2	,BGC0000730,BGC0000731
688	2	,BGC0000732,BGC0000733
692	2	,BGC0000737,BGC0000739
1921	2	,BGC0002084,BGC0002099
1928	2	,BGC0000138,BGC0002106
301	2	,BGC0000323,BGC0000435
1933	2	,BGC0002111,BGC0002700
1938	2	,BGC0002118,BGC0002119
312	2	,BGC0000334,BGC0001565
322	2	,BGC0000345,BGC0001829
338	2	,BGC0000363,BGC0000364
1968	2	,BGC0002150,BGC0002151
345	2	,BGC0000371,BGC0002696
1985	2	,BGC0002168,BGC0002170
370	2	,BGC0000398,BGC0000399
376	2	,BGC0000404,BGC0000405
1602	2	,BGC0001731,BGC0001732
387	2	,BGC0000415,BGC0000450
388	2	,BGC0000416,BGC0001692
1617	2	,BGC0000430,BGC0001748
1633	2	,BGC0001380,BGC0001765
1656	2	,BGC0000537,BGC0001789
1668	3	,BGC0001696,BGC0001802,BGC0002669
1669	3	,BGC0000425,BGC0000447,BGC0001806
1677	2	,BGC0001569,BGC0001814
1697	2	,BGC0001350,BGC0001837
1311	9	,BGC0001023,BGC0001417,BGC0001418,BGC0001419,BGC0001420,BGC0001423,BGC0001429,BGC0001430,BGC0001431
2203	2	,BGC0002417,BGC0002420
1321	7	,BGC0001421,BGC0001422,BGC0001424,BGC0001425,BGC0001426,BGC0001427,BGC0001428
703	9	,BGC0000740,BGC0000741,BGC0000742,BGC0000743,BGC0000744,BGC0000745,BGC0000746,BGC0000747,BGC0000748
2220	2	,BGC0001553,BGC0002434
708	2	,BGC0000754,BGC0000755
